Point,Zone,Probe,DAS,Date,depth_5,depth_15,depth_25,depth_35,depth_45,depth_55,depth_65,depth_75,depth_85,Neutron_depth_5,Neutron_depth_15,Neutron_depth_25,Neutron_depth_35,Neutron_depth_45,Neutron_depth_55,Neutron_depth_65,Neutron_depth_75,Neutron_depth_85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,59,11-Feb,48.94061438,54.04761917,52.90181729,54.78117563,53.98167792,53.76876021,55.32776167,54.67400354,55.23512229,44.73172154,49.39952392,48.352261,50.06999453,49.33925362,49.14464683,50.56957417,49.97203924,50.48490177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,60,12-Feb,47.66528958,53.90432542,52.85576896,54.76949313,53.95424458,53.7369525,55.29800792,54.6559625,55.25429458,43.56607468,49.26855343,48.31017283,50.05931672,49.31417955,49.11557459,50.54237924,49.95554973,50.50242525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,61,13-Feb,46.57492396,53.79296563,52.8025225,54.76296458,53.93407083,53.71421229,55.26892458,54.61795771,55.28660146,42.5694805,49.16677059,48.26150557,50.05334963,49.29574074,49.09479003,50.51579707,49.92081335,50.53195373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,62,14-Feb,43.77551542,53.64448667,52.75561021,54.76330854,53.89851021,53.72466,55.23901813,54.60165625,55.27606271,40.01082109,49.03106082,48.21862773,50.05366401,49.26323833,49.10433924,50.48846257,49.90591381,50.52232132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,63,15-Feb,40.88275583,53.39755875,52.66278875,54.74063167,53.91248604,53.71912875,55.23717917,54.57364604,55.28763813,37.36683883,48.8053687,48.13378892,50.03293735,49.27601224,49.09928368,50.48678176,49.88031248,50.53290125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,64,16-Feb,37.69695813,52.97591979,52.52725,54.72757854,53.89285083,53.70484083,55.22398563,54.57134438,55.27537083,34.45501973,48.41999069,48.0099065,50.02100679,49.25806566,49.08622452,50.47472287,49.87820876,50.52168894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,65,17-Feb,34.21238396,52.18333021,52.36054875,54.70078875,53.86119813,53.69531896,55.21697104,54.56674354,55.26224,31.27011894,47.69556381,47.85754156,49.99652092,49.22913509,49.07752153,50.46831153,49.8740036,50.50968736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,66,18-Feb,31.11292,50.75363771,52.15105146,54.64637604,53.8224875,53.67459125,55.19292438,54.55197958,55.26724938,28.43720888,46.38882487,47.66606103,49.9467877,49.19375358,49.0585764,50.44633288,49.86050934,50.51426593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,67,19-Feb,28.00277063,48.18976771,51.95960188,54.59096833,53.78450292,53.65478417,55.16887792,54.51881417,55.27830896,25.59453236,44.04544769,47.49107612,49.89614505,49.15903567,49.04047273,50.42435442,49.83019615,50.52437439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,68,20-Feb,24.65340479,45.17720729,51.69700604,54.54535854,53.74123625,53.6362125,55.16971458,54.5249475,55.28228313,22.53321198,41.29196746,47.25106352,49.85445771,49.11948993,49.02349823,50.42511913,49.83580202,50.52800678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,69,21-Feb,21.83205938,42.46882354,51.18100313,54.48830042,53.69780854,53.62961333,55.15986729,54.56789708,55.26431438,19.95450227,38.81650472,46.77943686,49.80230658,49.07979701,49.01746658,50.4161187,49.87505793,50.51158334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,70,22-Feb,19.42988188,39.94986646,49.90335458,54.40457813,53.65899354,53.59969083,55.13767188,54.6087475,55.26517854,17.75891204,36.51417794,45.61166609,49.72578441,49.0443201,48.99011742,50.3958321,49.91239522,50.51237319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
